"persona","date_of_birth","date_of_death","gender","religion","langue","luogo","localizzazione_inizio","localizzazione_fine","organizzazione","membership_inizio","membership_fine","ruolo","ruolo_inizio","ruolo_fine"
Constant Fornerod,"1819-07-11","1899-11-27",M,Protestant,Français,Avenches,"1819-05-30",xxxx-xx-xx,Conséil fédéral,"1855-07-11","1867-10-31",Président de la confédération ,"1857-01-01","1857-12-31"
Constant Fornerod,"1819-07-11","1899-11-27",M,Protestant,Français,Avenches,"1819-05-30",xxxx-xx-xx,Conséil fédéral,"1855-07-11","1867-10-31",Président de la confédération ,"1863-01-01","1863-01-01"
Constant Fornerod,"1819-07-11","1899-11-27",M,Protestant,Français,Avenches,"1819-05-30",xxxx-xx-xx,Conséil fédéral,"1855-07-11","1867-10-31",Président de la confédération ,"1867‑01‑01","1867‑12‑31"
Constant Fornerod,"1819-07-11","1899-11-27",M,Protestant,Français,Avenches,"1819-05-30",xxxx-xx-xx,FDP,xxxx-xx-xx,xxxx-xx-xx,,,
Constant Fornerod,"1819-07-11","1899-11-27",M,Protestant,Français,Bettens,xxxx-xx-xx,"1899-11-27",Conséil fédéral,"1855-07-11","1867-10-31",Président de la confédération ,"1857-01-01","1857-12-31"
Constant Fornerod,"1819-07-11","1899-11-27",M,Protestant,Français,Vaud,xxxx-xx-xx,xxxx-xx-xx,Conséil fédéral,"1855-07-11","1867-10-31",Président de la confédération ,"1857-01-01","1857-12-31"
Constant Fornerod,"1819-07-11","1899-11-27",M,Protestant,Français,Bettens,xxxx-xx-xx,"1899-11-27",Conséil fédéral,"1855-07-11","1867-10-31",Président de la confédération ,"1863-01-01","1863-01-01"
Constant Fornerod,"1819-07-11","1899-11-27",M,Protestant,Français,Vaud,xxxx-xx-xx,xxxx-xx-xx,Conséil fédéral,"1855-07-11","1867-10-31",Président de la confédération ,"1863-01-01","1863-01-01"
Constant Fornerod,"1819-07-11","1899-11-27",M,Protestant,Français,Bettens,xxxx-xx-xx,"1899-11-27",Conséil fédéral,"1855-07-11","1867-10-31",Président de la confédération ,"1867‑01‑01","1867‑12‑31"
Constant Fornerod,"1819-07-11","1899-11-27",M,Protestant,Français,Vaud,xxxx-xx-xx,xxxx-xx-xx,Conséil fédéral,"1855-07-11","1867-10-31",Président de la confédération ,"1867‑01‑01","1867‑12‑31"
Constant Fornerod,"1819-07-11","1899-11-27",M,Protestant,Français,Bettens,xxxx-xx-xx,"1899-11-27",FDP,xxxx-xx-xx,xxxx-xx-xx,,,
Constant Fornerod,"1819-07-11","1899-11-27",M,Protestant,Français,Vaud,xxxx-xx-xx,xxxx-xx-xx,FDP,xxxx-xx-xx,xxxx-xx-xx,,,
Daniel-Henri Druey,"1799-04-12","1855-03-29",M,Protestant,Français,Faoug,"1799-04-12",xxxx-xx-xx,Conséil fédéral,"1848-11-16","1855-03-29",Président de la confédération ,"1855‑01‑01","1855‑12‑31"
Daniel-Henri Druey,"1799-04-12","1855-03-29",M,Protestant,Français,Faoug,"1799-04-12",xxxx-xx-xx,FDP,xxxx-xx-xx,xxxx-xx-xx,,,
Daniel-Henri Druey,"1799-04-12","1855-03-29",M,Protestant,Français,Bern,xxxx-xx-xx,"1855-03-29",Conséil fédéral,"1848-11-16","1855-03-29",Président de la confédération ,"1855‑01‑01","1855‑12‑31"
Daniel-Henri Druey,"1799-04-12","1855-03-29",M,Protestant,Français,Vaud,xxxx-xx-xx,xxxx-xx-xx,Conséil fédéral,"1848-11-16","1855-03-29",Président de la confédération ,"1855‑01‑01","1855‑12‑31"
Daniel-Henri Druey,"1799-04-12","1855-03-29",M,Protestant,Français,Bern,xxxx-xx-xx,"1855-03-29",FDP,xxxx-xx-xx,xxxx-xx-xx,,,
Daniel-Henri Druey,"1799-04-12","1855-03-29",M,Protestant,Français,Vaud,xxxx-xx-xx,xxxx-xx-xx,FDP,xxxx-xx-xx,xxxx-xx-xx,,,
Friedrich Frey-Herosé,"1801-10-12","1873-09-22",M,Protestant,Allemand,Lindau,"1801-10-12",xxxx-xx-xx,Conséil fédéral,"1848-11-16","1866-12-31",,,
Friedrich Frey-Herosé,"1801-10-12","1873-09-22",M,Protestant,Allemand,Lindau,"1801-10-12",xxxx-xx-xx,FDP,xxxx-xx-xx,xxxx-xx-xx,,,
Friedrich Frey-Herosé,"1801-10-12","1873-09-22",M,Protestant,Allemand,Bern,xxxx-xx-xx,"1873-09-22",Conséil fédéral,"1848-11-16","1866-12-31",,,
Friedrich Frey-Herosé,"1801-10-12","1873-09-22",M,Protestant,Allemand,Argovie,xxxx-xx-xx,xxxx-xx-xx,Conséil fédéral,"1848-11-16","1866-12-31",,,
Friedrich Frey-Herosé,"1801-10-12","1873-09-22",M,Protestant,Allemand,Bern,xxxx-xx-xx,"1873-09-22",FDP,xxxx-xx-xx,xxxx-xx-xx,,,
Friedrich Frey-Herosé,"1801-10-12","1873-09-22",M,Protestant,Allemand,Argovie,xxxx-xx-xx,xxxx-xx-xx,FDP,xxxx-xx-xx,xxxx-xx-xx,,,
Giovanni Battista Pioda,"1808-10-04","1882-11-03",M,Catholique romain,Italien,Locarno,"1808-10-04",xxxx-xx-xx,Conséil fédéral,"1857-07-30","1864-01-26",,,
